term
opendoor
OpenDoor
openDoor
open door
Open Door
open Door
redfin
RedFin
redFin
red fin
Red Fin
red Fin
redfinnow
Redfinnow
redFinnow
redfinNow
redFinNow
RedfinNow
RedFinnow
RedFinNow
redfin now
Redfin now
redFin now
redfin Now
redFin Now
Redfin Now
RedFin now
RedFin Now
red fin now
Red fin now
red Fin now
red fin Now
red Fin Now
Red fin Now
Red Fin now
Red Fin Now
OfferPad
offerpad
offerPad
Offer Pad
offer pad
offer Pad
knock
Zillow
Zillow Offer
Ribbon
Orchard
Perch
# source: https://www.opendoor.com/w/affiliates
Digital Opendoor Insurance Services LLC
OD Title Holdings LLC
Opendoor Brokerage Inc.
Opendoor Brokerage LLC
Opendoor Home LLC
Opendoor Labs Inc.
Open Listing Co.
OS National LLC
OSN Texas LLC
Opendoor Labs Inc.
# source: https://www.sec.gov/Archives/edgar/data/1801169/000110465920137517/tm2038661d2_ex21-1.htm
Digital Opendoor Insurance Services LLC
OD Arizona D LLC
OD Equity Owner D LLC
OD Intermediate Holdco C LLC
OD Intermediate SUBI Holdco I LLC
OD Intermediate SUBI Holdco II LLC
OD Intermediate SUBI Holdco III LLC
OD Intermediate SUBI Holdco IV LLC
OD Mezzanine Borrower R2 LLC
OD Mezzanine Borrower W LLC
OD Nevada D LLC
OD SUBI Holdco I LLC
OD SUBI Holdco II LLC
OD SUBI Holdco III LLC
OD SUBI Holdco IV LLC
OD Texas D LLC
OD Trust Holdco LLC
Open Listings Co.
Open Listings Holding Company LLC
Opendoor Brokerage Inc.
Opendoor Brokerage LLC
Opendoor GP LLC
Opendoor Home Loans LLC
Opendoor Homes Phoenix 2 LLC
Opendoor Labs Inc.
Opendoor Property Acquisition Fund LP
Opendoor Property Acquisition LLC
Opendoor Property C LLC
Opendoor Property D LLC
Opendoor Property Holdco C LLC
Opendoor Property Holdco J LLC
Opendoor Property Holdco N LLC
Opendoor Property Holdco W LLC
Opendoor Property J LLC
Opendoor Property N LLC
Opendoor Property Trust I
Opendoor Property W1 LLC
Opendoor Property W20 LLC
Opendoor Property W25 LLC
Opendoor Title Services Holding LLC
OS National Alabama LLC
OS National LLC
OSN Texas LLC
Redefined Tax Solutions LLC
# Source: https://sec.report/Document/0001801169-22-000027/a2021ex211xlistofsubsidiar.htm; https://sec.report/Document/0001801169-22-000027/
Digital Opendoor Insurance Services LLC
Domus Labs Inc.
OD Arizona D LLC
OD Equity Owner D LLC
OD Homes Brokerage Inc
OD Intermediate Holdco C LLC
OD Intermediate SUBI Holdco I LLC
OD Intermediate SUBI Holdco II LLC
OD Intermediate SUBI Holdco IV LLC
OD Intermediate SUBI Holdco V LLC
OD Intermediate SUBI Holdco VI LLC
OD Intermediate SUBI Holdco VII LLC
OD International Holding Ltd (Cayman Islands)
OD International Holding Ltd
OD Mezzanine Borrower R2 LLC
OD Nevada D LLC
OD Services International Ltd (Cayman Islands)
OD Services International Ltd
OD Services LLC
OD SUBI Holdco I LLC
OD SUBI Holdco II LLC
OD SUBI Holdco III LLC
OD SUBI Holdco IV LLC
OD SUBI Holdco V LLC
OD SUBI Holdco VI LLC
OD SUBI Holdco VII LLC
OD SUBI Holdco VIII LLC
OD Texas D LLC
OD Trust Holdco LLC
Open Listings Holding Company LLC
Opendoor Brokerage Inc.
Opendoor Brokerage LLC
Opendoor Home Loans LLC
Opendoor Homes Phoenix 2 LLC
Opendoor Operations Canada Inc. (Canada)
Opendoor Operations Canada Inc.
Opendoor Property Acquisition LLC
Opendoor Property C LLC
Opendoor Property D LLC
Opendoor Property Holdco C LLC
Opendoor Property Holdco J LLC
Opendoor Property Holdco N LLC
Opendoor Property J LLC
Opendoor Property N LLC
Opendoor Property Trust I
Opendoor Title Services Holding LLC
OS National Alabama LLC
OS National LLC
OSN Escrow Inc.
OSN Texas LLC
Pro Marketplace LLC
Pro.com Home Services Colorado, LLC
Pro.com Home Services, LLC
Pro.com Home Services Arizona, LLC
Pro.com Home Services California, LLC
Redefined Tax Solutions LLC
Services Labs Inc.
Services Labs Software Private Limited (India)
Services Labs Software Private Limited
# https://www.sec.gov/Archives/edgar/data/1382821/000119312517219877/d325499dex211.htm
Walk Score Management, LLC
Redfin Mortgage, LLC
Forward Settlement Solutions, Inc. dba Title Forward
RDFN Ventures, Inc.
# https://investors.redfin.com/financial-information/sec-filings/content/0001382821-18-000008/listofsubsidiaries.htm
Walk Score Management, LLC
Redfin Mortgage, LLC
Forward Settlement Solutions, Inc. dba Title Forward
Forward Settlement Solutions of Texas, LLC
RDFN Ventures, Inc.
# https://fintel.io/doc/sec-rdfn-redfin-ex211-2020-february-12-18445-275
Forward Settlement Solutions, Inc.
Title Forward
Forward Settlement Solutions of Texas, LLC
RDFN Ventures, Inc.
RedfinNow
Redfin Home Services LLC
Redfin Insurance Services LLC
Redfin Mortgage, LLC
Redfin Subsidiary Holding Corporation
Redfin Unlimited Liability Company
RedfinNow Borrower LLC
RedfinNow Pledgor LLC
Walk Score Management, LLC
# https://sec.report/Document/1382821/000138282121000045/ex211202010-k.htm
Forward Settlement Solutions, Inc.
Title Forward
Forward Settlement Solutions of Texas, LLC
RDFN Ventures, Inc.
Redfin Home Services LLC
Redfin Mortgage, LLC
Redfin Subsidiary Holding Corporation
Redfin Unlimited Liability Company
RedfinNow Borrower LLC
RedfinNow Pledgor LLC
Title Forward of California Inc.
Walk Score Management, LLC
# https://www.sec.gov/Archives/edgar/data/1825024/000119312521108261/d109868dex211.htm
OfferPad, LLC
Elevation Solar Leasing, LLC
Bair Group Acquire, LLC
OfferPad (SPVBorrower), LLC
OfferPad (SPVBorrower1), LLC
OP SPE PHX1, LLC
OP SPE PHX1 LLC
OP SPE TPA1, LLC
OP SPE TPA1 LLC
OP SPE BORROWER PARENT, LLC
OP SPE HOLDCO, LLC
OfferPad Mortgage, LLC
OfferPad Brokerage, LLC
OfferPad Brokerage “FL,” LLC
OfferPad Brokerage FL, LLC
OP Contracting AZ, LLC
OP Contracting GA, LLC
OP Contracting TX, LLC
OfferPad Brokerage CA, Inc.
# https://sec.report/Document/0000950170-22-002999/opad-ex21_1.htm
Offerpad Holdings LLC
